Area,nightlife: (2018/2/18 - 2023/2/18)
哥伦比亚区,100
夏威夷,99
纽约州,83
佛罗里达,78
乔治亚州,74
南卡罗来纳州,71
内华达,70
特拉华,68
加利福尼亚州,65
新泽西州,63
麻萨诸塞州,63
北卡罗来纳州,61
马里兰州,60
弗吉尼亚州,59
罗得岛州,59
科罗拉多州,58
德克萨斯州,57
田纳西州,56
华盛顿,53
亚利桑那州,51
新墨西哥州,50
宾夕法尼亚州,49
伊利诺伊州,49
密西西比州,48
内布拉斯加州,48
康涅狄格,48
路易斯安那州,45
新罕布什尔州,43
佛蒙特州,43
北达科他州,43
亚拉巴马州,43
阿拉斯加州,41
阿肯色州,41
俄勒冈州,40
密苏里州,39
俄克拉何马,38
密歇根州,37
俄亥俄州,37
怀俄明州,37
堪萨斯,37
缅因州,36
肯塔基州,35
西弗吉尼亚州,32
犹他州,32
南达科他州,32
明尼苏达州,31
蒙大纳,31
爱荷华,30
印第安纳州,29
威斯康星,28
爱达荷州,26
